Abkhaz;ab;abk
Afar;aa;aar
Afrikaans;af;afr
Akan;ak;aka
Albanian;sq;sqi
Amharic;am;amh
Arabic;ar;ara
Aragonese;an;arg
Armenian;hy;hye
Assamese;as;asm
Avaric;av;ava
Azerbaijani;az;aze
Bambara;bm;bam
Bashkir;ba;bak
Belarusian;be;bel
Bengali, Bangla;bn;ben
Bihari;bh;bih
Bislama;bi;bis
Bosnian;bs;bos
Breton;br;bre
Bulgarian;bg;bul
Burmese;my;mya
Catalan;ca;cat
Chamorro;ch;cha
Chechen;ce;che
Chichewa, Chewa, Nyanja;ny;nya
Chinese;zh;zho
Chuvash;cv;chv
Cornish;kw;cor
Corsican;co;cos
Cree;cr;cre
Croatian;hr;hrv
Czech;cs;ces
Danish;da;dan
Divehi, Dhivehi, Maldivian;dv;div
Dutch;nl;nld
Dzongkha;dz;dzo
English;en;eng
Estonian;et;est
Ewe;ee;ewe
Faroese;fo;fao
Fijian;fj;fij
Finnish;fi;fin
French;fr;fra
Fula, Fulah, Pulaar, Pular;ff;ful
Galician;gl;glg
Georgian;ka;kat
German;de;deu
Greek (modern);el;ell
Guaraní;gn;grn
Haitian, Haitian Creole;ht;hat
Herero;hz;her
Hiri Motu;ho;hmo
Hungarian;hu;hun
Indonesian;id;ind
Irish;ga;gle
Igbo;ig;ibo
Inupiaq;ik;ipk
Ido;io;ido
Icelandic;is;isl
Italian;it;ita
Javanese;jv;jav
Kalaallisut, Greenlandic;kl;kal
Kannada;kn;kan
Kanuri;kr;kau
Kazakh;kk;kaz
Khmer;km;khm
Kikuyu, Gikuyu;ki;kik
Kyrgyz;ky;kir
Komi;kv;kom
Kongo;kg;kon
Luxembourgish, Letzeburgesch;lb;ltz
Ganda;lg;lug
Limburgish, Limburgan, Limburger;li;lim
Lingala;ln;lin
Lao;lo;lao
Lithuanian;lt;lit
Luba-Katanga;lub;lub
Latvian;lv;lav
Manx;gv;glv
Macedonian;mk;mkd
Malagasy;mg;mlg
Malayalam;ml;mal
Maltese;mt;mlt
Māori;mi;mri
Marshallese;mh;mah
Mongolian;mn;mon
Nauruan;na;nau
Navajo, Navaho;nv;nav
Northern Ndebele;nd;nde
Nepali;ne;nep
Norwegian Bokmål;nb;nob
Norwegian Nynorsk;nn;nno
Norwegian;no;nor
Nuosu;ii;iii
Southern Ndebele;nr;nbl
Occitan;oc;oci
Ojibwe, Ojibwa;oj;oji
Oromo;om;orm
Oriya;or;ori
Ossetian, Ossetic;os;oss
Pāli;pi;pli
Polish;pl;pol
Portuguese;pt;por
Quechua;qu;que
Romansh;rm;roh
Romanian;ro;ron
Russian;ru;rus
Sardinian;sc;srd
Samoan;sm;smo
Sango;sg;sag
Serbian;sr;srp
Scottish Gaelic, Gaelic;gd;gla
Shona;sn;sna
Sinhalese, Sinhala;si;sin
Slovak;sk;slk
Slovene;sl;slv
Somali;so;som
Southern Sotho;st;sot
Spanish;es;spa
Sundanese;su;sun
Swahili;sw;swa
Swati;ss;ssw
Swedish;sv;swe
Tamil;ta;tam
Telugu;te;tel
Thai;th;tha
Tigrinya;ti;tir
Tibetan Standard, Tibetan, Central;bo;bod
Turkmen;tk;tuk
Tagalog;tl;tgl
Tswana;tn;tsn
Tonga (Tonga Islands);to;ton
Turkish;tr;tur
Tsonga;ts;tso
Tahitian;ty;tah
Ukrainian;uk;ukr
Venda;ve;ven
Vietnamese;vi;vie
Walloon;wa;wln
Welsh;cy;cym
Wolof;wo;wol
Western Frisian;fy;fry
Xhosa;xh;xho
Yoruba;yo;yor
Zhuang, Chuang;za;zha
Zulu;zu;zul
